XS.width, XS.Qb_cap
1, 0.00018713
2, 0.000712869
3, 0.00153209
4, 0.00257415
5, 0.00378136
6, 0.00511098
7, 0.00653183
8, 0.00802112
9, 0.00956208
10, 0.0111422
11, 0.012752
12, 0.0143846
13, 0.0160343
14, 0.0176972
15, 0.0193699
16, 0.02105
17, 0.0227356
18, 0.024425
19, 0.0261173
20, 0.0278113
21, 0.0295064
22, 0.031202
23, 0.0328977
24, 0.034593
25, 0.0362878
26, 0.0379818
27, 0.0396749
28, 0.0413668
29, 0.0430576
30, 0.0447472
31, 0.0464355
32, 0.0481224
33, 0.0498081
34, 0.0514924
35, 0.0531753
36, 0.054857
37, 0.0565374
38, 0.0582164
39, 0.0598942
40, 0.0615708
41, 0.0632461
42, 0.0649203
43, 0.0665932
44, 0.0682651
45, 0.0699358
46, 0.0716055
47, 0.0732741
48, 0.0749417
49, 0.0766084
50, 0.078274
51, 0.0799387
52, 0.0816025
53, 0.0832654
54, 0.0849274
55, 0.0865886
56, 0.088249
57, 0.0899086
58, 0.0915674
59, 0.0932255
60, 0.0948829
61, 0.0965395
62, 0.0981954
63, 0.0998507
64, 0.101505
65, 0.103159
66, 0.104813
67, 0.106465
68, 0.108118
69, 0.109769
70, 0.11142
71, 0.113071
72, 0.114721
73, 0.11637
74, 0.118019
75, 0.119668
76, 0.121316
77, 0.122963
78, 0.12461
79, 0.126257
80, 0.127903
81, 0.129549
82, 0.131194
83, 0.132839
84, 0.134484
85, 0.136128
86, 0.137772
87, 0.139415
88, 0.141059
89, 0.142701
90, 0.144344
91, 0.145986
92, 0.147628
93, 0.149269
94, 0.15091
95, 0.152551
96, 0.154192
97, 0.155832
98, 0.157472
99, 0.159111
100, 0.160751
101, 0.16239
102, 0.164029
103, 0.165667
104, 0.167306
105, 0.168944
106, 0.170582
107, 0.172219
108, 0.173857
109, 0.175494
110, 0.177131
111, 0.178767
112, 0.180404
113, 0.18204
114, 0.183676
115, 0.185312
116, 0.186948
117, 0.188583
118, 0.190218
119, 0.191853
120, 0.193488
121, 0.195123
122, 0.196757
123, 0.198392
124, 0.200026
125, 0.20166
126, 0.203294
127, 0.204927
128, 0.206561
129, 0.208194
130, 0.209827
131, 0.21146
132, 0.213093
133, 0.214726
134, 0.216359
135, 0.217991
136, 0.219623
137, 0.221256
138, 0.222888
139, 0.224519
140, 0.226151
141, 0.227783
142, 0.229414
143, 0.231046
144, 0.232677
145, 0.234308
146, 0.235939
147, 0.23757
148, 0.2392
149, 0.240831
150, 0.242462
151, 0.244092
152, 0.245722
153, 0.247352
154, 0.248982
155, 0.250612
156, 0.252242
157, 0.253872
158, 0.255502
159, 0.257131
160, 0.258761
161, 0.26039
162, 0.262019
163, 0.263648
164, 0.265277
165, 0.266906
166, 0.268535
167, 0.270164
168, 0.271793
169, 0.273421
170, 0.27505
171, 0.276678
172, 0.278307
173, 0.279935
174, 0.281563
175, 0.283191
176, 0.284819
177, 0.286447
178, 0.288075
179, 0.289703
180, 0.291331
181, 0.292958
182, 0.294586
183, 0.296213
184, 0.297841
185, 0.299468
186, 0.301095
187, 0.302722
188, 0.30435
189, 0.305977
190, 0.307604
191, 0.309231
192, 0.310857
193, 0.312484
194, 0.314111
195, 0.315738
196, 0.317364
197, 0.318991
198, 0.320617
199, 0.322244
200, 0.32387
201, 0.325496
202, 0.327123
203, 0.328749
204, 0.330375
205, 0.332001
206, 0.333627
207, 0.335253
208, 0.336879
209, 0.338505
210, 0.34013
211, 0.341756
212, 0.343382
213, 0.345007
214, 0.346633
215, 0.348259
216, 0.349884
217, 0.351509
218, 0.353135
219, 0.35476
220, 0.356385
221, 0.358011
222, 0.359636
223, 0.361261
224, 0.362886
225, 0.364511
226, 0.366136
227, 0.367761
228, 0.369386
229, 0.371011
230, 0.372636
231, 0.37426
232, 0.375885
233, 0.37751
234, 0.379135
235, 0.380759
236, 0.382384
237, 0.384008
238, 0.385633
239, 0.387257
240, 0.388882
241, 0.390506
242, 0.39213
243, 0.393755
244, 0.395379
245, 0.397003
246, 0.398627
247, 0.400251
248, 0.401876
249, 0.4035
250, 0.405124
251, 0.406748
252, 0.408372
253, 0.409996
254, 0.411619
255, 0.413243
256, 0.414867
257, 0.416491
258, 0.418115
259, 0.419738
260, 0.421362
261, 0.422986
262, 0.424609
263, 0.426233
264, 0.427856
265, 0.42948
266, 0.431103
267, 0.432727
268, 0.43435
269, 0.435974
270, 0.437597
271, 0.439221
272, 0.440844
273, 0.442467
274, 0.44409
275, 0.445714
276, 0.447337
277, 0.44896
278, 0.450583
279, 0.452206
280, 0.453829
281, 0.455452
282, 0.457075
283, 0.458698
284, 0.460321
285, 0.461944
286, 0.463567
287, 0.46519
288, 0.466813
289, 0.468436
290, 0.470059
291, 0.471681
292, 0.473304
293, 0.474927
294, 0.47655
295, 0.478172
296, 0.479795
297, 0.481418
298, 0.48304
299, 0.484663
300, 0.486285
301, 0.487908
302, 0.489531
303, 0.491153
304, 0.492776
305, 0.494398
306, 0.49602
307, 0.497643
308, 0.499265
309, 0.500888
310, 0.50251
311, 0.504132
312, 0.505755
313, 0.507377
314, 0.508999
315, 0.510621
316, 0.512244
317, 0.513866
318, 0.515488
319, 0.51711
320, 0.518732
321, 0.520354
322, 0.521976
323, 0.523599
324, 0.525221
325, 0.526843
326, 0.528465
327, 0.530087
328, 0.531709
329, 0.533331
330, 0.534952
331, 0.536574
332, 0.538196
333, 0.539818
334, 0.54144
335, 0.543062
336, 0.544684
337, 0.546306
338, 0.547927
339, 0.549549
340, 0.551171
341, 0.552793
342, 0.554414
343, 0.556036
344, 0.557658
345, 0.559279
346, 0.560901
347, 0.562523
348, 0.564144
349, 0.565766
350, 0.567387
351, 0.569009
352, 0.570631
353, 0.572252
354, 0.573874
355, 0.575495
356, 0.577117
357, 0.578738
358, 0.58036
359, 0.581981
360, 0.583602
361, 0.585224
362, 0.586845
363, 0.588467
364, 0.590088
365, 0.591709
366, 0.593331
367, 0.594952
368, 0.596573
369, 0.598195
370, 0.599816
371, 0.601437
372, 0.603058
373, 0.60468
374, 0.606301
375, 0.607922
376, 0.609543
377, 0.611164
378, 0.612786
379, 0.614407
380, 0.616028
381, 0.617649
382, 0.61927
383, 0.620891
384, 0.622512
385, 0.624133
386, 0.625754
387, 0.627375
388, 0.628996
389, 0.630617
390, 0.632239
391, 0.633859
392, 0.63548
393, 0.637101
394, 0.638722
395, 0.640343
396, 0.641964
397, 0.643585
398, 0.645206
399, 0.646827
400, 0.648448
401, 0.650069
402, 0.65169
403, 0.65331
404, 0.654931
405, 0.656552
406, 0.658173
407, 0.659794
408, 0.661414
409, 0.663035
410, 0.664656
411, 0.666277
412, 0.667897
413, 0.669518
414, 0.671139
415, 0.67276
416, 0.67438
417, 0.676001
418, 0.677622
419, 0.679242
420, 0.680863
421, 0.682484
422, 0.684104
423, 0.685725
424, 0.687346
425, 0.688966
426, 0.690587
427, 0.692207
428, 0.693828
429, 0.695448
430, 0.697069
431, 0.698689
432, 0.70031
433, 0.701931
434, 0.703551
435, 0.705172
436, 0.706792
437, 0.708412
438, 0.710033
439, 0.711653
440, 0.713274
441, 0.714894
442, 0.716515
443, 0.718135
444, 0.719756
445, 0.721376
446, 0.722996
447, 0.724617
448, 0.726237
449, 0.727857
450, 0.729478
451, 0.731098
452, 0.732719
453, 0.734339
454, 0.735959
455, 0.737579
456, 0.7392
457, 0.74082
458, 0.74244
459, 0.744061
460, 0.745681
461, 0.747301
462, 0.748921
463, 0.750542
464, 0.752162
465, 0.753782
466, 0.755402
467, 0.757022
468, 0.758643
469, 0.760263
470, 0.761883
471, 0.763503
472, 0.765123
473, 0.766744
474, 0.768364
475, 0.769984
476, 0.771604
477, 0.773224
478, 0.774844
479, 0.776464
480, 0.778084
481, 0.779704
482, 0.781325
483, 0.782945
484, 0.784565
485, 0.786185
486, 0.787805
487, 0.789425
488, 0.791045
489, 0.792665
490, 0.794285
491, 0.795905
492, 0.797525
493, 0.799145
494, 0.800765
495, 0.802385
496, 0.804005
497, 0.805625
498, 0.807245
499, 0.808865
500, 0.810485
501, 0.812105
502, 0.813725
503, 0.815345
504, 0.816964
505, 0.818584
506, 0.820204
507, 0.821824
508, 0.823444
509, 0.825064
510, 0.826684
511, 0.828304
512, 0.829924
513, 0.831543
514, 0.833163
515, 0.834783
516, 0.836403
517, 0.838023
518, 0.839643
519, 0.841262
520, 0.842882
521, 0.844502
522, 0.846122
523, 0.847742
524, 0.849361
525, 0.850981
526, 0.852601
527, 0.854221
528, 0.855841
529, 0.85746
530, 0.85908
531, 0.8607
532, 0.86232
533, 0.863939
534, 0.865559
535, 0.867179
536, 0.868798
537, 0.870418
538, 0.872038
539, 0.873658
540, 0.875277
541, 0.876897
542, 0.878517
543, 0.880136
544, 0.881756
545, 0.883376
546, 0.884995
547, 0.886615
548, 0.888235
549, 0.889854
550, 0.891474
551, 0.893093
552, 0.894713
553, 0.896333
554, 0.897952
555, 0.899572
556, 0.901191
557, 0.902811
558, 0.904431
559, 0.90605
560, 0.90767
561, 0.909289
562, 0.910909
563, 0.912528
564, 0.914148
565, 0.915768
566, 0.917387
567, 0.919007
568, 0.920626
569, 0.922246
570, 0.923865
571, 0.925485
572, 0.927104
573, 0.928724
574, 0.930343
575, 0.931963
576, 0.933582
577, 0.935202
578, 0.936821
579, 0.938441
580, 0.94006
581, 0.94168
582, 0.943299
583, 0.944918
584, 0.946538
585, 0.948157
586, 0.949777
587, 0.951396
588, 0.953016
589, 0.954635
590, 0.956255
591, 0.957874
592, 0.959493
593, 0.961113
594, 0.962732
595, 0.964352
596, 0.965971
597, 0.96759
598, 0.96921
599, 0.970829
600, 0.972448
601, 0.974068
602, 0.975687
603, 0.977307
604, 0.978926
605, 0.980545
606, 0.982165
607, 0.983784
608, 0.985403
609, 0.987023
610, 0.988642
611, 0.990261
612, 0.991881
613, 0.9935
614, 0.995119
615, 0.996738
616, 0.998358
617, 0.999977
618, 1.0016
619, 1.00322
620, 1.00483
621, 1.00645
622, 1.00807
623, 1.00969
624, 1.01131
625, 1.01293
626, 1.01455
627, 1.01617
628, 1.01779
629, 1.01941
630, 1.02103
631, 1.02265
632, 1.02427
633, 1.02589
634, 1.0275
635, 1.02912
636, 1.03074
637, 1.03236
638, 1.03398
639, 1.0356
640, 1.03722
641, 1.03884
642, 1.04046
643, 1.04208
644, 1.0437
645, 1.04532
646, 1.04693
647, 1.04855
648, 1.05017
649, 1.05179
650, 1.05341
651, 1.05503
652, 1.05665
653, 1.05827
654, 1.05989
655, 1.06151
656, 1.06313
657, 1.06475
658, 1.06636
659, 1.06798
660, 1.0696
661, 1.07122
662, 1.07284
663, 1.07446
664, 1.07608
665, 1.0777
666, 1.07932
667, 1.08094
668, 1.08256
669, 1.08417
670, 1.08579
671, 1.08741
672, 1.08903
673, 1.09065
674, 1.09227
675, 1.09389
676, 1.09551
677, 1.09713
678, 1.09875
679, 1.10037
680, 1.10198
681, 1.1036
682, 1.10522
683, 1.10684
684, 1.10846
685, 1.11008
686, 1.1117
687, 1.11332
688, 1.11494
689, 1.11656
690, 1.11817
691, 1.11979
692, 1.12141
693, 1.12303
694, 1.12465
695, 1.12627
696, 1.12789
697, 1.12951
698, 1.13113
699, 1.13275
700, 1.13436
701, 1.13598
702, 1.1376
703, 1.13922
704, 1.14084
705, 1.14246
706, 1.14408
707, 1.1457
708, 1.14732
709, 1.14894
710, 1.15055
711, 1.15217
712, 1.15379
713, 1.15541
714, 1.15703
715, 1.15865
716, 1.16027
717, 1.16189
718, 1.16351
719, 1.16512
720, 1.16674
721, 1.16836
722, 1.16998
723, 1.1716
724, 1.17322
725, 1.17484
726, 1.17646
727, 1.17808
728, 1.1797
729, 1.18131
730, 1.18293
731, 1.18455
732, 1.18617
733, 1.18779
734, 1.18941
735, 1.19103
736, 1.19265
737, 1.19427
738, 1.19588
739, 1.1975
740, 1.19912
741, 1.20074
742, 1.20236
743, 1.20398
744, 1.2056
745, 1.20722
746, 1.20883
747, 1.21045
748, 1.21207
749, 1.21369
750, 1.21531
751, 1.21693
752, 1.21855
753, 1.22017
754, 1.22179
755, 1.2234
756, 1.22502
757, 1.22664
758, 1.22826
759, 1.22988
760, 1.2315
761, 1.23312
762, 1.23474
763, 1.23635
764, 1.23797
765, 1.23959
766, 1.24121
767, 1.24283
768, 1.24445
769, 1.24607
770, 1.24769
771, 1.24931
772, 1.25092
773, 1.25254
774, 1.25416
775, 1.25578
776, 1.2574
777, 1.25902
778, 1.26064
779, 1.26226
780, 1.26387
781, 1.26549
782, 1.26711
783, 1.26873
784, 1.27035
785, 1.27197
786, 1.27359
787, 1.27521
788, 1.27682
789, 1.27844
790, 1.28006
791, 1.28168
792, 1.2833
793, 1.28492
794, 1.28654
795, 1.28816
796, 1.28977
797, 1.29139
798, 1.29301
799, 1.29463
800, 1.29625
801, 1.29787
802, 1.29949
803, 1.3011
804, 1.30272
805, 1.30434
806, 1.30596
807, 1.30758
808, 1.3092
809, 1.31082
810, 1.31244
811, 1.31405
812, 1.31567
813, 1.31729
814, 1.31891
815, 1.32053
816, 1.32215
817, 1.32377
818, 1.32538
819, 1.327
820, 1.32862
821, 1.33024
822, 1.33186
823, 1.33348
824, 1.3351
825, 1.33672
826, 1.33833
827, 1.33995
828, 1.34157
829, 1.34319
830, 1.34481
831, 1.34643
832, 1.34805
833, 1.34966
834, 1.35128
835, 1.3529
836, 1.35452
837, 1.35614
838, 1.35776
839, 1.35938
840, 1.361
841, 1.36261
842, 1.36423
843, 1.36585
844, 1.36747
845, 1.36909
846, 1.37071
847, 1.37233
848, 1.37394
849, 1.37556
850, 1.37718
851, 1.3788
852, 1.38042
853, 1.38204
854, 1.38366
855, 1.38527
856, 1.38689
857, 1.38851
858, 1.39013
859, 1.39175
860, 1.39337
861, 1.39499
862, 1.3966
863, 1.39822
864, 1.39984
865, 1.40146
866, 1.40308
867, 1.4047
868, 1.40632
869, 1.40793
870, 1.40955
871, 1.41117
872, 1.41279
873, 1.41441
874, 1.41603
875, 1.41765
876, 1.41926
877, 1.42088
878, 1.4225
879, 1.42412
880, 1.42574
881, 1.42736
882, 1.42898
883, 1.43059
884, 1.43221
885, 1.43383
886, 1.43545
887, 1.43707
888, 1.43869
889, 1.4403
890, 1.44192
891, 1.44354
892, 1.44516
893, 1.44678
894, 1.4484
895, 1.45002
896, 1.45163
897, 1.45325
898, 1.45487
899, 1.45649
900, 1.45811
901, 1.45973
902, 1.46135
903, 1.46296
904, 1.46458
905, 1.4662
906, 1.46782
907, 1.46944
908, 1.47106
909, 1.47268
910, 1.47429
911, 1.47591
912, 1.47753
913, 1.47915
914, 1.48077
915, 1.48239
916, 1.484
917, 1.48562
918, 1.48724
919, 1.48886
920, 1.49048
921, 1.4921
922, 1.49372
923, 1.49533
924, 1.49695
925, 1.49857
926, 1.50019
927, 1.50181
928, 1.50343
929, 1.50504
930, 1.50666
931, 1.50828
932, 1.5099
933, 1.51152
934, 1.51314
935, 1.51476
936, 1.51637
937, 1.51799
938, 1.51961
939, 1.52123
940, 1.52285
941, 1.52447
942, 1.52608
943, 1.5277
944, 1.52932
945, 1.53094
946, 1.53256
947, 1.53418
948, 1.53579
949, 1.53741
950, 1.53903
951, 1.54065
952, 1.54227
953, 1.54389
954, 1.54551
955, 1.54712
956, 1.54874
957, 1.55036
958, 1.55198
959, 1.5536
960, 1.55522
961, 1.55683
962, 1.55845
963, 1.56007
964, 1.56169
965, 1.56331
966, 1.56493
967, 1.56654
968, 1.56816
969, 1.56978
970, 1.5714
971, 1.57302
972, 1.57464
973, 1.57625
974, 1.57787
975, 1.58274
976, 1.58436
977, 1.58599
978, 1.58761
979, 1.58923
980, 1.59085
981, 1.59247
982, 1.59737
983, 1.599
984, 1.60062
985, 1.60225
986, 1.60387
987, 1.6055
988, 1.60712
989, 1.61205
990, 1.61368
991, 1.61531
992, 1.61694
993, 1.61857
994, 1.6202
995, 1.62182
996, 1.62345
997, 1.62842
998, 1.63005
999, 1.63168
1000, 1.63331
1001, 1.63494
1002, 1.63657
1003, 1.63821
1004, 1.6432
1005, 1.64483
1006, 1.64647
1007, 1.6481
1008, 1.64974
1009, 1.65137
1010, 1.65301
1011, 1.65464
1012, 1.65967
1013, 1.66131
1014, 1.66295
1015, 1.66459
1016, 1.66623
1017, 1.66786
1018, 1.6695
1019, 1.67114
1020, 1.6762
1021, 1.67784
1022, 1.67949
1023, 1.68113
1024, 1.68277
1025, 1.68441
1026, 1.68605
1027, 1.68769
1028, 1.69279
1029, 1.69443
1030, 1.69608
1031, 1.69772
1032, 1.69937
1033, 1.70101
1034, 1.70266
1035, 1.7043
1036, 1.70943
1037, 1.71108
1038, 1.71273
1039, 1.71438
1040, 1.71603
1041, 1.71767
1042, 1.71932
1043, 1.72097
1044, 1.72613
1045, 1.72779
1046, 1.72944
1047, 1.73109
1048, 1.73274
1049, 1.73439
1050, 1.73604
1051, 1.7377
1052, 1.73935
1053, 1.74455
1054, 1.7462
1055, 1.74786
